product_id,product_name,category,price,cost,sku,supplier,weight
prod001,iPhone 15 Pro,Electronics,999.99,750.00,IPH-0001,Apple Inc,0.20
prod002,Samsung Galaxy S24,Electronics,899.99,650.00,SAM-0002,Samsung Electronics,0.18
prod003,MacBook Air M3,Electronics,1299.99,1000.00,MAC-0003,Apple Inc,1.24
prod004,Dell XPS 13,Electronics,1199.99,900.00,DEL-0004,Dell Technologies,1.25
prod005,iPad Pro,Electronics,1099.99,800.00,IPD-0005,Apple Inc,0.68
prod006,Sony WH-1000XM5,Electronics,399.99,250.00,SON-0006,Sony Corporation,0.25
prod007,AirPods Pro,Electronics,249.99,150.00,AIR-0007,Apple Inc,0.06
prod008,Nintendo Switch,Electronics,299.99,200.00,NIN-0008,Nintendo,0.40
prod009,Google Pixel 8,Electronics,699.99,500.00,GOO-0009,Google LLC,0.19
prod010,Apple Watch Series 9,Electronics,399.99,250.00,APW-0010,Apple Inc,0.04
prod011,Levi's 501 Jeans,Clothing,79.99,40.00,LEV-0011,Levi Strauss & Co,0.50
prod012,Nike Air Max 270,Clothing,149.99,75.00,NIK-0012,Nike Inc,0.80
prod013,Adidas Ultraboost,Clothing,189.99,95.00,ADI-0013,Adidas AG,0.85
prod014,Zara Basic T-Shirt,Clothing,19.99,8.00,ZAR-0014,Inditex,0.15
prod015,H&M Hoodie,Clothing,39.99,20.00,HM-0015,H&M Group,0.60
prod016,Uniqlo Down Jacket,Clothing,89.99,45.00,UNI-0016,Fast Retailing,0.40
prod017,Converse Chuck Taylor,Clothing,59.99,30.00,CON-0017,Converse Inc,0.75
prod018,Nike Air Force 1,Clothing,99.99,50.00,NAF-0018,Nike Inc,0.78
prod019,Adidas Stan Smith,Clothing,79.99,40.00,ASS-0019,Adidas AG,0.72
prod020,Vans Old Skool,Clothing,64.99,32.00,VAN-0020,VF Corporation,0.70
prod021,The Great Gatsby,Books,14.99,5.00,GBY-0021,Scribner,0.30
prod022,To Kill a Mockingbird,Books,13.99,5.00,TKM-0022,J.B. Lippincott & Co,0.35
prod023,1984,Books,12.99,5.00,N84-0023,Secker & Warburg,0.32
prod024,Pride and Prejudice,Books,11.99,4.00,PAP-0024,T. Egerton,0.28
prod025,The Catcher in the Rye,Books,15.99,6.00,TCR-0025,Little Brown and Company,0.31
prod026,Lord of the Flies,Books,13.99,5.00,LOF-0026,Faber & Faber,0.29
prod027,Harry Potter,Books,19.99,8.00,HPT-0027,Bloomsbury Publishing,0.40
prod028,IKEA Billy Bookshelf,Home & Garden,59.99,30.00,IKE-0028,IKEA,15.50
prod029,Dyson V15 Vacuum,Home & Garden,749.99,400.00,DYS-0029,Dyson Ltd,3.10
prod030,KitchenAid Stand Mixer,Home & Garden,379.99,200.00,KTA-0030,Whirlpool Corporation,10.90
prod031,Instant Pot Duo,Home & Garden,99.99,50.00,INS-0031,Instant Brands,5.40
prod032,Philips Hue Bulbs,Home & Garden,49.99,25.00,PHI-0032,Signify,0.08
prod033,Weber Genesis Grill,Home & Garden,999.99,600.00,WEB-0033,Weber-Stephen Products,85.00
prod034,Wilson Tennis Racket,Sports,129.99,65.00,WIL-0034,Wilson Sporting Goods,0.30
prod035,Spalding Basketball,Sports,29.99,15.00,SPA-0035,Spalding,0.62
prod036,Nike Running Shoes,Sports,119.99,60.00,NRS-0036,Nike Inc,0.85
prod037,Yeti Water Bottle,Sports,39.99,20.00,YET-0037,YETI Holdings,0.53
prod038,Under Armour Gym Bag,Sports,49.99,25.00,UAG-0038,Under Armour,0.90
prod039,Fitbit Charge 5,Sports,199.99,100.00,FIT-0039,Fitbit Inc,0.03
